national_number,gen,english_name
497,5,Serperior
498,5,Tepig
499,5,Pignite
500,5,Emboar
501,5,Oshawott
502,5,Dewott
503,5,Samurott
504,5,Patrat
505,5,Watchog
506,5,Lillipup
507,5,Herdier
508,5,Stoutland
509,5,Purrloin
510,5,Liepard
511,5,Pansage
512,5,Simisage
513,5,Pansear
514,5,Simisear
515,5,Panpour
516,5,Simipour
517,5,Munna
518,5,Musharna
519,5,Pidove
520,5,Tranquill
521,5,Unfezant
522,5,Blitzle
523,5,Zebstrika
524,5,Roggenrola
525,5,Boldore
526,5,Gigalith
527,5,Woobat
528,5,Swoobat
529,5,Drilbur
530,5,Excadrill
531,5,Audino
532,5,Timburr
533,5,Gurdurr
534,5,Conkeldurr
535,5,Tympole
536,5,Palpitoad
537,5,Seismitoad
538,5,Throh
539,5,Sawk
540,5,Sewaddle
541,5,Swadloon
542,5,Leavanny
543,5,Venipede
544,5,Whirlipede
545,5,Scolipede
546,5,Cottonee
547,5,Whimsicott
548,5,Petilil
549,5,Lilligant
550,5,Basculin
551,5,Sandile
552,5,Krokorok
553,5,Krookodile
554,5,Darumaka
555,5,Darmanitan
556,5,Maractus
557,5,Dwebble
558,5,Crustle
559,5,Scraggy
560,5,Scrafty
561,5,Sigilyph
562,5,Yamask
563,5,Cofagrigus
564,5,Tirtouga
565,5,Carracosta
566,5,Archen
567,5,Archeops
568,5,Trubbish
569,5,Garbodor
570,5,Zorua
571,5,Zoroark
572,5,Minccino
573,5,Cinccino
574,5,Gothita
575,5,Gothorita
576,5,Gothitelle
577,5,Solosis
578,5,Duosion
579,5,Reuniclus
580,5,Ducklett
581,5,Swanna
582,5,Vanillite
583,5,Vanillish
584,5,Vanilluxe
585,5,Deerling
586,5,Sawsbuck
587,5,Emolga
588,5,Karrablast
589,5,Escavalier
590,5,Foongus
591,5,Amoonguss
592,5,Frillish
593,5,Jellicent
594,5,Alomomola
595,5,Joltik
596,5,Galvantula
597,5,Ferroseed
598,5,Ferrothorn
599,5,Klink
600,5,Klang
601,5,Klinklang
602,5,Tynamo
603,5,Eelektrik
604,5,Eelektross
605,5,Elgyem
606,5,Beheeyem
607,5,Litwick
608,5,Lampent
609,5,Chandelure
610,5,Axew
611,5,Fraxure
612,5,Haxorus
613,5,Cubchoo
614,5,Beartic
615,5,Cryogonal
616,5,Shelmet
617,5,Accelgor
618,5,Stunfisk
619,5,Mienfoo
620,5,Mienshao
621,5,Druddigon
622,5,Golett
623,5,Golurk
624,5,Pawniard
625,5,Bisharp
626,5,Bouffalant
627,5,Rufflet
628,5,Braviary
629,5,Vullaby
630,5,Mandibuzz
631,5,Heatmor
632,5,Durant
633,5,Deino
634,5,Zweilous
635,5,Hydreigon
636,5,Larvesta
637,5,Volcarona
638,5,Cobalion
639,5,Terrakion
640,5,Virizion
641,5,Tornadus
642,5,Thundurus
643,5,Reshiram
644,5,Zekrom
645,5,Landorus
646,5,Kyurem
647,5,Keldeo
648,5,Meloetta
649,5,Genesect
650,6,Chespin
651,6,Quilladin
652,6,Chesnaught
653,6,Fennekin
654,6,Braixen
655,6,Delphox
656,6,Froakie
657,6,Frogadier
658,6,Greninja
659,6,Bunnelby
660,6,Diggersby
661,6,Fletchling
662,6,Fletchinder
663,6,Talonflame
664,6,Scatterbug
665,6,Spewpa
666,6,Vivillon
667,6,Litleo
668,6,Pyroar
669,6,Flabébé
670,6,Floette
671,6,Florges
672,6,Skiddo
673,6,Gogoat
674,6,Pancham
675,6,Pangoro
676,6,Furfrou
677,6,Espurr
678,6,Meowstic
679,6,Honedge
680,6,Doublade
681,6,Aegislash
682,6,Spritzee
683,6,Aromatisse
684,6,Swirlix
685,6,Slurpuff
686,6,Inkay
687,6,Malamar
688,6,Binacle
689,6,Barbaracle
690,6,Skrelp
691,6,Dragalge
692,6,Clauncher
693,6,Clawitzer
694,6,Helioptile
695,6,Heliolisk
696,6,Tyrunt
697,6,Tyrantrum
698,6,Amaura
699,6,Aurorus
700,6,Sylveon
701,6,Hawlucha
702,6,Dedenne
703,6,Carbink
704,6,Goomy
705,6,Sliggoo
706,6,Goodra
707,6,Klefki
708,6,Phantump
709,6,Trevenant
710,6,Pumpkaboo
711,6,Gourgeist
712,6,Bergmite
713,6,Avalugg
714,6,Noibat
715,6,Noivern
716,6,Xerneas
717,6,Yveltal
718,6,Zygarde
719,6,Diancie
720,6,Hoopa
721,6,Volcanion
722,7,Rowlet
723,7,Dartrix
724,7,Decidueye
725,7,Litten
726,7,Torracat
727,7,Incineroar
728,7,Popplio
729,7,Brionne
730,7,Primarina
731,7,Pikipek
732,7,Trumbeak
733,7,Toucannon
734,7,Yungoos
735,7,Gumshoos
736,7,Grubbin
737,7,Charjabug
738,7,Vikavolt
739,7,Crabrawler
740,7,Crabominable
741,7,Oricorio
742,7,Cutiefly
743,7,Ribombee
744,7,Rockruff
745,7,Lycanroc
746,7,Wishiwashi
747,7,Mareanie
748,7,Toxapex
749,7,Mudbray
750,7,Mudsdale
751,7,Dewpider
752,7,Araquanid
753,7,Fomantis
754,7,Lurantis
755,7,Morelull
756,7,Shiinotic
757,7,Salandit
758,7,Salazzle
759,7,Stufful
760,7,Bewear
761,7,Bounsweet
762,7,Steenee
763,7,Tsareena
764,7,Comfey
765,7,Oranguru
766,7,Passimian
767,7,Wimpod
768,7,Golisopod
769,7,Sandygast
770,7,Palossand
771,7,Pyukumuku
772,7,Type: Null
773,7,Silvally
774,7,Minior
775,7,Komala
776,7,Turtonator
777,7,Togedemaru
778,7,Mimikyu
779,7,Bruxish
780,7,Drampa
781,7,Dhelmise
782,7,Jangmo-o
783,7,Hakamo-o
784,7,Kommo-o
785,7,Tapu Koko
786,7,Tapu Lele
787,7,Tapu Bulu
788,7,Tapu Fini
789,7,Cosmog
790,7,Cosmoem
791,7,Solgaleo
792,7,Lunala
793,7,Nihilego
794,7,Buzzwole
795,7,Pheromosa
796,7,Xurkitree
797,7,Celesteela
798,7,Kartana
799,7,Guzzlord
800,7,Necrozma
801,7,Magearna
802,7,Marshadow
803,7,Poipole
804,7,Naganadel
805,7,Stakataka
806,7,Blacephalon
807,7,Zeraora
808,7,Meltan
809,7,Melmetal
810,8,Grookey
811,8,Thwackey
812,8,Rillaboom
813,8,Scorbunny
814,8,Raboot
815,8,Cinderace
816,8,Sobble
817,8,Drizzile
818,8,Inteleon
819,8,Skwovet
820,8,Greedent
821,8,Rookidee
822,8,Corvisquire
823,8,Corviknight
824,8,Blipbug
825,8,Dottler
826,8,Orbeetle
827,8,Nickit
828,8,Thievul
829,8,Gossifleur
830,8,Eldegoss
831,8,Wooloo
832,8,Dubwool
833,8,Chewtle
834,8,Drednaw
835,8,Yamper
836,8,Boltund
837,8,Rolycoly
838,8,Carkol
839,8,Coalossal
840,8,Applin
841,8,Flapple
842,8,Appletun
843,8,Silicobra
844,8,Sandaconda
845,8,Cramorant
846,8,Arrokuda
847,8,Barraskewda
848,8,Toxel
849,8,Toxtricity
850,8,Sizzlipede
851,8,Centiskorch
852,8,Clobbopus
853,8,Grapploct
854,8,Sinistea
855,8,Polteageist
856,8,Hatenna
857,8,Hattrem
858,8,Hatterene
859,8,Impidimp
860,8,Morgrem
861,8,Grimmsnarl
862,8,Obstagoon
863,8,Perrserker
864,8,Cursola
865,8,Sirfetch'd
866,8,Mr. Rime
867,8,Runerigus
868,8,Milcery
869,8,Alcremie
870,8,Falinks
871,8,Pincurchin
872,8,Snom
873,8,Frosmoth
874,8,Stonjourner
875,8,Eiscue
876,8,Indeedee
877,8,Morpeko
878,8,Cufant
879,8,Copperajah
880,8,Dracozolt
881,8,Arctozolt
882,8,Dracovish
883,8,Arctovish
884,8,Duraludon
885,8,Dreepy
886,8,Drakloak
887,8,Dragapult
888,8,Zacian
889,8,Zamazenta
890,8,Eternatus
891,8,Kubfu
892,8,Urshifu
893,8,Zarude
894,8,Regieleki
895,8,Regidrago
896,8,Glastrier
897,8,Spectrier
898,8,Calyrex
899,8,Wyrdeer
900,8,Kleavor
901,8,Ursaluna
902,8,Basculegion
903,8,Sneasler
904,8,Overqwil
905,8,Enamorus
906,9,Sprigatito
907,9,Floragato
908,9,Meowscarada
909,9,Fuecoco
910,9,Crocalor
911,9,Skeledirge
912,9,Quaxly
913,9,Quaxwell
914,9,Quaquaval
915,9,Lechonk
916,9,Oinkologne
917,9,Tarountula
918,9,Spidops
919,9,Nymble
920,9,Lokix
921,9,Pawmi
922,9,Pawmo
923,9,Pawmot
924,9,Tandemaus
925,9,Maushold
926,9,Fidough
927,9,Dachsbun
928,9,Smoliv
929,9,Dolliv
930,9,Arboliva
931,9,Squawkabilly
932,9,Nacli
933,9,Naclstack
934,9,Garganacl
935,9,Charcadet
936,9,Armarouge
937,9,Ceruledge
938,9,Tadbulb
939,9,Bellibolt
940,9,Wattrel
941,9,Kilowattrel
942,9,Maschiff
943,9,Mabosstiff
944,9,Shroodle
945,9,Grafaiai
946,9,Bramblin
947,9,Brambleghast
948,9,Toedscool
949,9,Toedscruel
950,9,Klawf
951,9,Capsakid
952,9,Scovillain
953,9,Rellor
954,9,Rabsca
955,9,Flittle
956,9,Espathra
957,9,Tinkatink
958,9,Tinkatuff
959,9,Tinkaton
960,9,Wiglett
961,9,Wugtrio
962,9,Bombirdier
963,9,Finizen
964,9,Palafin
965,9,Varoom
966,9,Revavroom
967,9,Cyclizar
968,9,Orthworm
969,9,Glimmet
970,9,Glimmora
971,9,Greavard
972,9,Houndstone
973,9,Flamigo
974,9,Cetoddle
975,9,Cetitan
976,9,Veluza
977,9,Dondozo
978,9,Tatsugiri
979,9,Annihilape
980,9,Clodsire
981,9,Farigiraf
982,9,Dudunsparce
983,9,Kingambit
984,9,Great Tusk
985,9,Scream Tail
986,9,Brute Bonnet
987,9,Flutter Mane
988,9,Slither Wing
989,9,Sandy Shocks
990,9,Iron Treads
991,9,Iron Bundle
992,9,Iron Hands
993,9,Iron Jugulis
994,9,Iron Moth
995,9,Iron Thorns
996,9,Frigibax
997,9,Arctibax
998,9,Baxcalibur
999,9,Gimmighoul
1000,9,Gholdengo
1001,9,Wo-Chien
1002,9,Chien-Pao
1003,9,Ting-Lu
1004,9,Chi-Yu
1005,9,Roaring Moon
1006,9,Iron Valiant
1007,9,Koraidon
1008,9,Miraidon
1009,9,Walking Wake
1010,9,Iron Leaves
1011,9,Dipplin
1012,9,Poltchageist
1013,9,Sinistcha
1014,9,Okidogi
1015,9,Munkidori
1016,9,Fezandipiti
1017,9,Ogerpon
1018,9,Archaludon
1019,9,Hydrapple
1020,9,Gouging Fire
1021,9,Raging Bolt
1022,9,Iron Boulder
1023,9,Iron Crown
1024,9,Terapagos
1025,9,Pecharunt
